ID	smiles	name	distance	standard deviation	matching rate (HMBC)		matching rate (HSQC)	
101	O[C@H]([C@H]1O)[C@H](O)[C@@H](CO)O[C@@H]1C2=C(O)C3=C(OC(C4=CC=C(O)C=C4)=CC3=O)C=C2O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O	Isovitexin_7-O-alpha-L-rhamnoside	0.02	0.54	8/47	17.02%	10/16	62.50%
102	OC(C=C1)=CC=C1C(OC2=C([C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)C(O)=C([C@@H]4OC[C@H](O)[C@H](O)[C@H]4O)C(O)=C52)=CC5=O	Apigenin_6,8-di-C-alpha-L-arabinose	0.02	0.54	9/29	31.03%	7/11	63.64%
103	O=C1C=C(C2=CC=CC=C2)OC3=CC(O)=C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(O)=C13	Chrysin_6-C-(2''-O-beta-D-glucoside)-beta-D-glucoside	0.03	0.54	3/50	6.00%	11/17	64.71%
104	c1ccc(cc1)[C@H](C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O1)O)O)O	Amygdalin	0.02	0.53	0/45	0.00%	12/16	75.00%
105	O=C1C=C(OC2=CC(O)=C([C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C(O)=C12)C5=CC=CC=C5	Chrysin_6-C-beta-D-glucoside-6''-O-alpha-L-rhamnose	0.02	0.53	8/51	15.69%	13/18	72.22%
106	OCC1O[C@@H](OCC2O[C@H](C(O)[C@@H](O)[C@H]2O)C2=C(O)C=C(O)C3=C2OC(=CC3=O)C2=CC=C(O)C=C2)C(O)[C@@H](O)[C@@H]1O	Vitexin_6''-O-glucoside	0.03	0.53	1/49	2.04%	11/17	64.71%
107	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2C2=C(O)C3=C(OC(=CC3=O)C3=CC=C(O)C=C3)C=C2O)[C@H](O)[C@@H](O)[C@@H]1O	Isovitexin-2″-O-β-glucopyranoside	0.03	0.54	0/50	0.00%	9/17	52.94%
108	N[C@@H](CC1=CC=CC=C1)C(O)=O	Phenylalanine_	0.01	0.51	5/15	33.33%	6/6	100.00%
109	O[C@H]([C@H]1O)[C@H](O)[C@@H](CO[C@@H]2O[C@H]([C@@H]([C@H]([C@H]2O)O)O)C)O[C@@H]1C3=C(O)C4=C(OC(C5=CC=C(O)C=C5)=CC4=O)C=C3O	apigenin_6-C-beta-D-glucoside_6''-O-alpha-L-rhamnose	0.03	0.52	4/52	7.69%	10/17	58.82%
110	O[C@H]([C@H]([C@@H]1O)O)[C@H](C2=C(C=C(C3=C2OC(C4=CC=C(C=C4)O)=CC3=O)O)O)O[C@@H]1CO[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O	Vitexin_6''-O-alpha-L-arabinoside	0.03	0.51	2/48	4.17%	9/17	52.94%
111	OC(C=C1)=CC=C1C(OC2=CC(O)=C([C@@H]3OC[C@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(O)=C52)=CC5=O	Apigenin_6-C-(2''-O-alpha-L-rhamnose)-alpha-L-rhamnose	0.04	0.52	7/46	15.22%	7/16	43.75%
112	O=C1C=C(C2=CC=CC=C2)OC3=CC(O)=C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)C(O)=C13	Chrysin_6-C-(2''-O-alpha-L-rhamnose)-beta-D-glucoside	0.03	0.50	10/50	20.00%	10/17	58.82%
113	Cc1c2c(ccn1)c1ccc(cc1[nH]2)OC	Harmine	0.05	0.52	3/20	15.00%	2/7	28.57%
114	C[C@@H](O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)CC[C@H]2C(C)=CC(CC2(C)C)=O	Blumenol_C_alpha-L-rhamnose	0.04	0.51	5/52	9.62%	9/16	56.25%
115	O[C@@H]([C@@H]([C@H](O[C@@H]1C2=C(C3=C(C=C2O)OC(C4=CC=C(C=C4)O)=CC3=O)O)CO)O)[C@H]1O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O	apigenin_6-C-beta-D-glucoside_2''-O-alpha-L-rhamnose	0.03	0.50	8/48	16.67%	8/16	50.00%
116	C1=C([C@](C(CC1=O)(C)C)(O)/C=C/[C@@H](C)O)C	(+)-Blumenol_A	0.04	0.50	2/28	7.14%	4/9	44.44%
117	C[C@@H]1O[C@H]([C@@H]([C@@H]([C@H]1O)O)O)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2C3=C(C=C(C4=C3OC(C5=CC=C(C=C5)O)=CC4=O)O)O)CO)O)O	Vitexin_2''-O-alpha-L-rhamnoside	0.04	0.50	9/48	18.75%	8/16	50.00%
118	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2C3=C(C4=C(C=C3O)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O	Isovitexin_2''-O-rhamnoside	0.04	0.50	7/52	13.46%	8/17	47.06%
119	Cc1c2c(ccn1)c1ccccc1[nH]2	Harman	0.04	0.50	1/21	4.76%	3/7	42.86%
120	c1cc(c(cc1/C=C\1/C(=O)c2ccc(cc2O1)O)O)O	Sulfuretin	0.09	0.54	1/25	4.00%	2/7	28.57%
121	CC1=CC(CC(C)(C)[C@@H]1CC[C@H](O)C)=O	Blumenol_C	0.05	0.48	0/34	0.00%	5/10	50.00%
122	CCCCCCCCCCCCCC[C@@H](CC[C@@H](C[C@@H](C[C@H]1CC=CC(=O)O1)O)O)O	Passifloricin_A	0.30	0.74	0/72	0.00%	9/24	37.50%
123	c1ccc(cc1)c1cc(=O)oc2cc(cc(c12)O)O	Serratin	0.08	0.51	0/16	0.00%	4/6	66.67%
124	Cc1c2c(cc[nH]1)c1ccc(=O)cc1[nH]2	Harmol	0.07	0.49	2/14	14.29%	3/5	60.00%
125	O=C1C=C(OC2=CC(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=C([C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(O)=C12)C5=CC=CC=C5	Chrysin_6-C-alpha-L-rhamnose-7-Obeta-D-glucoside	0.02	0.42	15/50	30.00%	12/18	66.67%
126	C1[C@@H](CC(=C(C1(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=O)\C)\C)/C)/C)C)O	beta-Citraurin	0.16	0.53	0/78	0.00%	3/23	13.04%
127	CC1C(=O)C(=C(C)O1)OC1C(C(C(C(CO)O1)O)O)O	Furaneol_beta-D-glucopyranoside	0.01	0.38	8/24	33.33%	5/9	55.56%
128	C1=CC(CC1O)(C#N)OC1C(C(C(C(CO)O1)O)O)O	(1S,4S)-Tetraphyllin_B	0.02	0.38	10/31	32.26%	7/10	70.00%
129	C1=C[C@](C[C@H]1O)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O	Volkenin	0.02	0.38	10/31	32.26%	7/10	70.00%
130	OCC1OC(OC2(CC(O)C=C2)C#N)C(O)C(O)C1O	(1R,4S)-Taraktophyllin	0.02	0.38	10/31	32.26%	7/10	70.00%
131	OC(C=C1)=CC=C1C(OC2=CC(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=C([C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(O)=C52)=CC5=O	Apigenin-6-C-alpha-L-rhamnose-7-O-beta-D-glucoside	0.02	0.34	13/49	26.53%	10/18	55.56%
132	OC(C=C1)=CC=C1C(OC2=C([C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=CC(O)=C52)=CC5=O	Apigenin-8-C-alpha-L-rhamnose-7-O-beta-D-glucoside	0.02	0.34	13/47	27.66%	9/16	56.25%
133	OC(C=C1)=CC=C1C(OC2=CC(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC(O)=C42)=CC4=O	Apigenin_7-O-glucosylpyranoside	0.06	0.38	8/33	24.24%	6/12	50.00%
134	CC1OC(CC(O)C1O)OC2CC(OC3OC(CO)C(O)C(O)C3O)(C=C2)C#N	(1S,4R)-passicapsin	0.02	0.33	5/49	10.20%	11/16	68.75%
135	[C@@H]12C=C(/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(\C)/C=C/C3=C(CCCC3(C)C)C)\C)/C)/C)O[C@]2(CCCC1(C)C)C	Mutatochrome	0.19	0.49	0/103	0.00%	3/29	10.34%
136	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@@H]([C@@H](CC(=O)C(C)C)O)C)C)C)C3)(C)C(=O)O)O	Cyclopassifloic_acid_D	0.71	0.98	1/97	1.03%	12/22	54.55%
137	COC1=C(O)C=CC(=C1)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2C1=CC(OC)=C(O)C=C1	Pinoresinol	0.04	0.30	2/36	5.56%	4/11	36.36%
138	C[C@]1([C@]([C@H](C)[C@H](O)CC(C(C)C)=O)([H])CC2)CC[C@]([C@@]34[C@@H](O)C[C@H](O)[C@@](C)(C(O)=O)[C@]3([H])CC5)(C4)[C@]5([H])[C@@]12C	Cyclopassifloic_acid	0.73	0.98	1/98	1.02%	12/23	52.17%
139	OC(C=C1)=CC=C1C(OC2=C([C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)C(O)=C([C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(O)=C52)=CC5=O	Apigenin_6-C-alpha-L-rhamnose-8-C-alpha-L-arabinose	0.02	0.26	12/46	26.09%	9/16	56.25%
140	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@@H]([C@@H](CC(=O)C(C)C)O)C)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_VI	0.75	0.97	1/114	0.88%	16/28	57.14%
141	c1ccc(c(c1)O)O	Catechol	0.03	0.24	0/6	0.00%	1/2	50.00%
142	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@@H]([C@@H](C[C@@](CO)(C(C)C)O)O)C)C)C)C3)(C)C(=O)O)O	Cyclopassifloic_acid_A	0.84	1.00	1/104	0.96%	13/24	54.17%
143	COC1=C(C=C(C=C1)[C@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)OC	Sylvatesmin	0.06	0.19	0/52	0.00%	5/15	33.33%
144	c1(cc(c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)OC)O)O)OC	Rhamnazin	0.06	0.17	1/21	4.76%	2/7	28.57%
145	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@](CC[C@@](O)(CO)C(C)C)(O)C)C)C)C3)(C)C(=O)O)O	Cyclopassifloic_acid_C	0.75	0.86	1/99	1.01%	14/22	63.64%
146	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@@H](CC[C@@](CO)(C(C)C)O)C)C)C)C3)(C)C(=O)O)O	Cyclopassifloic_acid_B	0.89	0.99	1/102	0.98%	13/23	56.52%
147	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@](CC[C@@](O)(CO)C(C)C)(O)C)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_IV	0.80	0.85	1/116	0.86%	18/28	64.29%
148	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@@H](CC[C@@](CO)(C(C)C)O)C)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_II	0.95	0.98	1/120	0.83%	17/30	56.67%
149	C(=O)(/C(=C/CC=C(C)C)/C)O	(2E)-2,6-Dimethyl-2,5-heptadienoic_acid	0.06	0.05	0/17	0.00%	1/6	16.67%
150	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@H](C2)O)[C@](C)(CC[C@@](CO)(C(C)C)O)O)C)C)C3)(C)C(=O)O)O	Cyclopassifloic_acid_E	0.74	0.73	1/100	1.00%	13/22	59.09%
151	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@H](C2)O)[C@@H](CC[C@@](CO)(C(C)C)O)C)C)C)C3)(C)C(=O)O)O	Cyclopassifloic_acid_F	0.89	0.88	1/106	0.94%	14/24	58.33%
152	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@@H](C2)O)[C@@H](CC[C@@](CO)(C(C)C)O)C)C)C)C3)(C)C(=O)O)O	Cyclopassifloic_acid_G	0.89	0.88	1/106	0.94%	14/24	58.33%
153	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@@H]([C@@H](C[C@@](CO)(C(C)C)O)O)C)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_I	0.89	0.88	1/121	0.83%	16/30	53.33%
154	c1(cc(c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)OC)O)O)O	Isorhamnetin	0.07	0.05	0/19	0.00%	1/6	16.67%
155	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@H](C2)O)[C@](C)(CC[C@@](CO)(C(C)C)O)O)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_VII	0.74	0.72	1/115	0.87%	17/28	60.71%
156	c1c(cc(c(c1O)O)O)C(=O)O	Gallic_acid	0.02	0.00	0/3	0.00%	0/1	0.00%
157	CC(=CCC/C(=C/CC/C(=C/C=C/C(=C/C=C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)/C)/C)/C)C	Phytofluene	0.19	0.16	0/100	0.00%	3/30	10.00%
158	C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)C[C@H](CC1(C)C)O)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C	beta-Cryptoxanthin	0.19	0.16	0/101	0.00%	2/29	6.90%
159	C1[C@@H]([C@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@H](C2)O)[C@H](C)CC[C@](CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)(O)C(C)C)C)C)C3)(C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C)O	Cyclotricuspidoside_B	0.94	0.91	1/137	0.73%	21/35	60.00%
160	C1[C@@H]([C@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@@H](C2)O)[C@H](C)CC[C@@](CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)(O)C(C)C)C)C)C3)(C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C)O	Cyclotricuspidoside_C	0.94	0.91	1/137	0.73%	21/35	60.00%
161	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@H](C2)O)[C@@H](CC[C@@](CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)(C(C)C)O)C)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_IX	0.94	0.91	1/137	0.73%	21/35	60.00%
162	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@H](C2)O)[C@@H](CC[C@@](CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)(C(C)C)O)C)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_XI	0.94	0.91	1/137	0.73%	21/35	60.00%
163	CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(\C)/CCC=C(C)C)/C)/C)/C)C	Lycopene	0.15	0.12	0/77	0.00%	1/23	4.35%
164	CC(=CCC/C(=C/C=C\C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(/C)\C=C/C=C(\C)/CCC=C(C)C)/C)\C)/C)C	Prolycopene	0.15	0.12	0/77	0.00%	1/23	4.35%
165	CC(=CCC/C(=C/CC/C(=C/CC/C(=C/C=C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)/C)/C)/C)C	15,15'-cis-Phytoene	0.20	0.16	1/78	1.28%	3/23	13.04%
166	c1cc(c(cc1[C@H](CN)O)O)O	Noradrenaline	0.06	0.01	1/16	6.25%	1/5	20.00%
167	C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C	beta-Carotene	0.17	0.12	0/73	0.00%	2/21	9.52%
168	OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1	Apigenin	0.11	0.05	1/14	7.14%	1/5	20.00%
169	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@H](C2)O)[C@@H](CC[C@](C(C)C)(CO)O)C)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_VIII	0.94	0.87	1/123	0.81%	17/30	56.67%
170	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H]([C@@H](C2)O)[C@@H](CC[C@](C(C)C)(CO)O)C)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_X	0.94	0.87	1/123	0.81%	17/30	56.67%
171	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@@](CC[C@@](CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)(C(C)C)O)(C)O)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_V	0.85	0.78	1/132	0.76%	21/33	63.64%
172	c1cc(c(cc1c1c(c(=O)c2c(cc(cc2o1)O)O)O)O)O	Quercetin	0.07	0.00	0/17	0.00%	0/5	0.00%
173	C1[C@@H]([C@@]([C@H]2[C@]3([C@H]1O)[C@]1([C@@H](CC2)[C@]2([C@](CC1)([C@H](CC2)[C@@H](CC[C@](C(C)C)(CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)C)C)C)C3)(C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	Cyclopassifloside_III	1.00	0.92	1/137	0.73%	20/35	57.14%
174	CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C)/C)/C)/C)C	gamma-Carotene	0.21	0.12	0/104	0.00%	2/31	6.45%
175	c1c(cc2c(c1C)c1c(c(=O)o2)c(cc(c1)O)O)O	Alternariol_3,4',5-Trihydroxy-6'-methyl-dibenzo(a)pyrone	0.10	0.00	0/17	0.00%	0/5	0.00%
176	CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)/C)/C)/C)C	Neurosporene	0.21	0.08	0/104	0.00%	1/32	3.12%
